General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:33:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:117:30,"Octal constants shall not be used"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:123:32,"Octal constants shall not be used"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:130:32,"Octal constants shall not be used"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:180:27,"Octal constants shall not be used"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:186:29,"Octal constants shall not be used"
7.1,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:193:29,"Octal constants shall not be used"
8.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:58:14,"A compatible declaration shall be visible when an object or function with external linkage is defined"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CPUPCTest.c:70:20,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCFlashTest.c:34:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCFlashTest.c:49:60,"style: Parameter 'endAddress' can be declared as pointer to const [constParameterPointer]"
8.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCFlashTest.c:49:14,"A compatible declaration shall be visible when an object or function with external linkage is defined"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:34:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
8.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:50:14,"A compatible declaration shall be visible when an object or function with external linkage is defined"
10.3,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:60:13,"The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:65:9,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
14.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:52:7,"The controlling expression of an if statement and the controlling expression of an iteration statement shall have essentially Boolean type"
14.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_CRCbyte.c:72:6,"The controlling expression of an if statement and the controlling expression of an iteration statement shall have essentially Boolean type"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:34:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
8.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:53:14,"A compatible declaration shall be visible when an object or function with external linkage is defined"
10.3,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:71:16,"The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category"
10.3,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:73:16,"The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category"
15.6,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:84:5,"The body of an iteration-statement or a selection-statement shall be a compound-statement"
15.6,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_ClockTest.c:89:5,"The body of an iteration-statement or a selection-statement shall be a compound-statement"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:36:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:37:0,"information: Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:57:19,"style: Variable 'endAddress' can be declared as pointer to const [constVariablePointer]"
7.2,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:112:28,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:121:38,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:131:27,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:137:32,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
8.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:54:14,"A compatible declaration shall be visible when an object or function with external linkage is defined"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:74:60,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:97:19,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:109:27,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:115:27,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:117:28,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:119:17,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:123:17,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:129:28,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:132:23,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:135:28,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:139:18,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:141:32,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:143:18,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
15.7,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:124:3,"All if - else if constructs shall be terminated with an else statement"
15.7,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:144:4,"All if - else if constructs shall be terminated with an else statement"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:62:58,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:63:43,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
17.7,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:79:15,"The value returned by a function having non-void return type shall be used"
17.7,REQUIRED,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMCheckerBoardTest.c:91:15,"The value returned by a function having non-void return type shall be used"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:33:0,"information: Include file: "classb/classb.h" not found. [missingInclude]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:34:0,"information: Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results. [missingIncludeSystem]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:196:9,"style: The scope of the variable 'tempValue' can be reduced. [variableScope]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:253:9,"style: The scope of the variable 'tempValue' can be reduced. [variableScope]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:294:9,"style: The scope of the variable 'tempValue' can be reduced. [variableScope]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:335:9,"style: The scope of the variable 'tempValue' can be reduced. [variableScope]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:68:19,"style: Variable 'endAddress' can be declared as pointer to const [constVariablePointer]"
General issue,ADVISORY,..\..\..\..\..\..\microchip\harmony\v2_06\framework\classb\src\CLASSB_RAMMarchBTest.c:306:32,"portability: Shifting signed 32-bit value by 31 bits is implementation-defined behaviour [shiftTooManyBitsSigned]"
